v	cpu_cnf_Mean	cpu_cnf_SD	cpu_vc1_Mean	cpu_vc1_SD	cpu_vc2_Mean	cpu_vc2_SD
5	0.000259		0.000078	0.000019	0.000003	0.000013	0.000003
10	0.012761		0.032579	0.000042	0.000004	0.000025	0.000003
15	1.553660		3.140676	0.000078	0.000007	0.000042	0.000006
20	3.311495		4.403001	0.000139	0.000008	0.000068	0.000005
25	7.385286		4.026301	0.000205	0.000014	0.000097	0.000009
30	8.167385		3.677669	0.000273	0.000014	0.000129	0.000010
35	10.000000		0.000000	0.000356	0.000021	0.000157	0.000013
40	10.000000		0.000000	0.000473	0.000022	0.000206	0.000010
45	10.000000		0.000000	0.000571	0.000031	0.000248	0.000018
50	10.000000		0.000000	0.000692	0.000040	0.000284	0.000018
