v	cpu_cnf_Mean	cpu_cnf_SD	cpu_vc1_Mean	cpu_vc1_SD	cpu_vc2_Mean	cpu_vc2_SD
5	0.000202		0.000074	0.000019	0.000005	0.000013	0.000001
10	0.018633		0.030873	0.000042	0.000003	0.000025	0.000002
15	3.066866		2.354415	0.000079	0.000006	0.000041	0.000004
20	10.000000		0.000000	0.000139	0.000006	0.000067	0.000006
25	10.000000		0.000000	0.000203	0.000014	0.000096	0.000008
30	10.000000		0.000000	0.000273	0.000014	0.000128	0.000010
35	10.000000		0.000000	0.000351	0.000018	0.000155	0.000013
40	10.000000		0.000000	0.000469	0.000019	0.000204	0.000009
45	10.000000		0.000000	0.000569	0.000029	0.000245	0.000018
50	10.000000		0.000000	0.000686	0.000033	0.000282	0.000017
